Latitide,39.47276
Longitude,-105.0622
Elevation,1801
Time,Temperature_2m [°C],Relativehumidity_2m [%],Precipitation [mm],Windspeed_10m [m/s],Winddirection_10m [°],Cloudcover [%],Direct_radiation [W/m²],Boundary_layer_height [m],FFMC hourly [-],FFMC [-],DMC [-],DC [-],ISI [-],BUI [-],FWI [-]
2023-01-01T00:00,7.2,51,0,1.26,342,21,13,45,85.0025306011461,0,0,0,0,0,0
2023-01-01T01:00,2.6,71,0,2.24,333,71,0,30,84.9590677351118,0,0,0,0,0,0
2023-01-01T02:00,-1.3,83,0,2.16,304,100,0,15,84.7955715677899,0,0,0,0,0,0
2023-01-01T03:00,2.2,74,0,0.71,262,72,0,15,84.7367376693746,0,0,0,0,0,0
2023-01-01T04:00,-3.5,88,0,1.25,241,26,0,15,84.5137278951445,0,0,0,0,0,0
2023-01-01T05:00,-3.6,88,0,0.92,221,20,0,15,84.3033939364493,0,0,0,0,0,0
2023-01-01T06:00,-4.5,83,0,2.05,223,56,0,15,84.1716694266229,0,0,0,0,0,0
2023-01-01T07:00,-6.8,86,0,2.48,223,19,0,20,84.0089623349941,0,0,0,0,0,0
2023-01-01T08:00,-9,90,0,1.98,229,71,0,25,83.7981684498283,0,0,0,0,0,0
2023-01-01T09:00,-9.9,88,0,2.2,231,77,0,30,83.6296376948572,0,0,0,0,0,0
2023-01-01T10:00,-9.7,87,0,2.48,230,100,0,25,83.4798260007389,0,0,0,0,0,0
2023-01-01T11:00,-9.3,86,0,2.42,232,94,0,30,83.3476824474386,0,0,0,0,0,0
2023-01-01T12:00,-9,88,0,2.08,235,83,0,30,83.1941804636639,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T13:00,-8.1,89,0,2.44,235,100,0,30,83.028198141955,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T14:00,-7.8,88,0,2.55,228,100,0,30,82.8832935351988,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T15:00,-8.6,89,0,2.33,227,100,4,35,82.731109581823,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T16:00,-5.3,86,0,1.64,232,100,62,45,82.6255017952003,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T17:00,-1.1,76,0,0.94,212,99,199,55,82.6224249725526,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T18:00,1.2,76,0,0.51,349,100,285,95,82.6224249725526,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T19:00,1.7,72,0,1.02,11,100,249,220,82.6224249725526,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T20:00,2.1,70,0,1.64,38,100,205,330,82.6224249725526,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T21:00,-0.7,81,0,2.92,38,100,214,335,82.5804535854219,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T22:00,-3.2,96,0,2.33,313,100,137,180,82.257203687808,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-01T23:00,-2.6,94,0,2.09,287,100,31,125,82.0146136273292,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T00:00,-3.8,97,0,1.77,317,100,0,95,81.6993089017337,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T01:00,-3.4,97,0,1.22,325,100,0,80,81.4075161851722,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T02:00,-3.1,97,0,0.41,284,100,0,60,81.1455416240456,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T03:00,-3.3,95,0.1,0.73,254,100,0,30,78.8000140198423,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T04:00,-3.6,95,0.1,0.5,233,100,0,25,76.6197722071284,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T05:00,-3.7,94,0.1,0.22,207,100,0,40,74.5183245796585,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T06:00,-3.6,93,0.2,0.72,236,100,0,40,70.5270775740081,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T07:00,-3.6,93,0.5,0.36,236,100,0,30,61.6134471456584,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T08:00,-3.5,92,0.7,0.36,236,100,0,15,51.3051214205802,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T09:00,-3.6,93,0.5,0.36,214,100,0,20,45.2419780245948,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T10:00,-3.7,93,0.3,0.92,221,100,0,15,42.0413382143882,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T11:00,-3.7,92,0,0.64,231,100,0,35,42.0577505315124,81.6413763234198,6,15,1.51642312874468,6,0
2023-01-02T12:00,-3.5,89,0,0.22,27,100,0,30,42.0870467046331,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T13:00,-5.3,93,0,0.89,333,100,0,25,42.0991606293383,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T14:00,-4.3,94,0,0.86,324,100,0,20,42.1087300657183,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T15:00,-4.3,96,0.1,1.17,290,100,1,30,41.1085777068158,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T16:00,-4.1,97,0.1,1.21,336,100,4,80,40.1345156261193,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T17:00,-3.8,94,0,0.98,336,100,2,225,40.14469732209,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T18:00,-3.3,91,0,1.52,337,100,0,340,40.1660879792218,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T19:00,-3.1,90,0.1,1.68,17,100,0,390,39.2416573095766,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T20:00,-3.2,88,0.2,2.51,29,100,0,430,37.4455917277363,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T21:00,-3.6,94,0.1,2.57,13,100,0,405,36.5801595986498,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T22:00,-3.8,96,0.1,2.57,347,100,0,355,35.7326095235968,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-02T23:00,-3.8,94,0.1,1.9,357,100,0,330,34.9136716060249,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T00:00,-5.1,96,0,2.04,349,100,0,220,34.9188849149586,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T01:00,-5.4,95,0.1,1.26,342,100,0,190,34.1183068821598,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T02:00,-5.3,95,0.3,0.89,333,100,0,185,31.8045914840686,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T03:00,-5.2,94,0.3,0.94,328,100,0,195,29.6731188261395,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T04:00,-5.1,92,0.1,1.77,317,100,0,210,29.0224342933796,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T05:00,-5.2,89,0.1,2.42,330,100,0,200,28.4031337194273,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T06:00,-5.4,89,0,2.2,321,100,0,170,28.4363605172591,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T07:00,-6,88,0,1.61,300,100,0,145,28.4741949137405,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T08:00,-6,86,0,1.3,270,97,0,125,28.5238194683068,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T09:00,-7,85,0,1.06,229,83,0,90,28.5777248396346,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T10:00,-7.8,85,0,1.7,220,40,0,75,28.6299723873449,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T11:00,-8.9,89,0,2.48,227,93,0,50,28.6589497120069,79.7432296194877,6,15,1.1198982511559,6,0
2023-01-03T12:00,-7.4,88,0,1.84,229,55,0,20,28.6947226908384,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T13:00,-10.2,86,0,1.35,228,83,0,15,28.7368621991146,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T14:00,-12.4,83,0,1.42,231,59,0,15,28.7913797176906,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T15:00,-12.3,81,0,1.91,227,16,8,15,28.8579370360401,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T16:00,-9.3,75,0,1.77,223,4,100,25,28.9790518743,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T17:00,-5.6,62,0,1.25,209,12,236,30,29.2713678995877,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T18:00,-3.6,61,0,0.92,41,53,345,165,29.6010624026001,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T19:00,-3.2,67,0,1.79,27,86,411,340,29.8493777958727,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T20:00,-3.2,72,0,1.75,31,100,368,325,30.0346934969614,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T21:00,-3.5,76,0,1.75,24,98,235,370,30.1739938909146,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T22:00,-4.1,82,0,0.72,34,87,98,345,30.2557932983244,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-03T23:00,-3.4,75,0,0.36,56,68,78,90,30.4057732738239,78.5840085036024,6,15,1.08741417834525,6,0
2023-01-04T00:00,-5.3,89,0,0.61,171,97,10,40,30.4384262133784,78.5840085036024,6,15,1.08741417834525,6,0
